956;ООО "ЭКО Нетворкс"
958;АО "КантриКом"
958;АО "Компания ТрансТелеКом"
958;ЗАО "Интерсвязь-2"
958;ЗАО "СанСим"
958;ОАО "МТТ"
958;ООО "ВиКом"
958;ООО "ГЛОНАСС МОБАЙЛ"
958;ООО "Газпром телеком"
958;ООО "Глобал Телеком"
958;ООО "Интернод"
958;ООО "К-телеком"
958;ООО "КТК ТЕЛЕКОМ"
958;ООО "Квантек"
958;ООО "МАТРИКС телеком"
958;ООО "МСН Телеком"
958;ООО "Медиа-Маркет"
958;ООО "Метро-пэй"
958;ООО "МиАТел"
958;ООО "Нэт Бай Нэт Холдинг"
958;ООО "ОБИТ"
958;ООО "ПИН"
958;ООО "РЕКОНН"
958;ООО "РЕТЕЙЛ ИННОВАЦИИ"
958;ООО "СИМ ТЕЛЕКОМ"
958;ООО "Сбербанк-Телеком"
958;ООО "Скартел"
958;ООО "Сонет"
958;ООО "Спринт"
958;ООО "Старт"
958;ООО "Т2 Мобайл"
958;ООО "ТМТ"
958;ООО "ТТК-Связь"
958;ООО "Тривон Нетворкс"
958;ООО "Центр 2М"
958;ООО "Цифра Один"
958;ПАО "МГТС"
958;ПАО "Мобильные ТелеСистемы"
958;ПАО "Ростелеком"
960;ПАО "Вымпел-Коммуникации"
961;ОАО "МТТ"
961;ПАО "Вымпел-Коммуникации"
962;ПАО "Вымпел-Коммуникации"
963;ОАО "МТТ"
963;ПАО "Вымпел-Коммуникации"
964;ПАО "Вымпел-Коммуникации"
965;ПАО "Вымпел-Коммуникации"
966;ОАО "МТТ"
966;ООО "Интернод"
966;ООО "Сбербанк-Телеком"
966;ООО "СкайНэт"
966;ПАО "Вымпел-Коммуникации"
967;ОАО "МТТ"
967;ООО "Интернод"
967;ООО "Новые мобильные коммуникации"
967;ПАО "Вымпел-Коммуникации"
968;ОАО "МТТ"
968;ООО "Интернод"
968;ПАО "Вымпел-Коммуникации"
969;ОАО "МТТ"
969;ООО "Интернод"
969;ООО "Лайкамобайл"
969;ООО "МАТРИКС телеком"
969;ООО "Спринт"
969;ООО "Т2 Мобайл"
969;ООО "ТВЕ-ТЕЛЕКОМ"
969;ООО "Цифра групп"
969;ПАО "Вымпел-Коммуникации"
970;ООО "Оранж Бизнес Сервисез"
970;ПАО "Ростелеком"
971;ООО "Оранж Бизнес Сервисез"
971;ПАО "Ростелеком"
977;ОАО "МТТ"
977;ООО "ЕКАТЕРИНБУРГ-2000"
977;ООО "Интернод"
977;ООО "Лайкамобайл"
977;ООО "Новые мобильные коммуникации"
977;ООО "СИНТОНИК"
977;ООО "Сбербанк-Телеком"
977;ООО "Т2 Мобайл"
978;АО "Севастополь Телеком"
978;Акционерное общество "Крымтелеком"
978;ООО "Аврора Телеком"
978;ООО "Интернод"
978;ООО "К-телеком"
978;ООО "КТК ТЕЛЕКОМ"
978;ООО "СевТелекомСвязь"
978;ООО "Элемтэ-Инвест"
978;ПАО "Мобильные ТелеСистемы"
980;ОАО "МТТ"
980;ООО "Интернод"
980;ООО "МАТРИКС телеком"
980;ООО "Сбербанк-Телеком"
980;ООО "Скай Нетворкс"
980;ПАО "Вымпел-Коммуникации"
980;ПАО "Мобильные ТелеСистемы"
981;ОАО "МТТ"
981;ООО "Интернод"
981;ООО "Спринт"
981;ПАО "Мобильные ТелеСистемы"
982;ОАО "МТТ"
982;ООО "Спринт"
982;ПАО "Мобильные ТелеСистемы"
983;ОАО "МТТ"
983;ООО "Спринт"
983;ПАО "Вымпел-Коммуникации"
983;ПАО "Мобильные ТелеСистемы"
984;ОАО "МТТ"
984;ООО "Интернод"
984;ООО "Скай Нетворкс"
984;ООО "Спринт"
984;ПАО "Мобильные ТелеСистемы"
985;АО "Воентелеком"
985;ОАО "МТТ"
985;ООО "Лайкамобайл"
985;ООО "Цифра групп"
985;ПАО "МГТС"
985;ПАО "Мобильные ТелеСистемы"
986;ОАО "МТТ"
986;ООО "Скай Нетворкс"
986;ООО "Спринт"
986;ООО "Цифра Один"
986;ПАО "Вымпел-Коммуникации"
986;ПАО "Мобильные ТелеСистемы"
987;ПАО "Мобильные ТелеСистемы"
988;ОАО "МТТ"
988;ПАО "Мобильные ТелеСистемы"
989;ОАО "МТТ"
989;ООО "Лайкамобайл"
989;ООО "Сбербанк-Телеком"
989;ПАО "Мобильные ТелеСистемы"
991;ОАО "МТТ"
991;ООО "Интернод"
991;ООО "Скартел"
991;ООО "Спринт"
991;ООО "Т2 Мобайл"
991;ПАО "Ростелеком"
992;АО "Теле2-Санкт-Петербург"
992;АО "ЭР-Телеком Холдинг"
992;ОАО "МТТ"
992;ООО "Лайкамобайл"
992;ООО "МиАТел"
992;ООО "Сбербанк-Телеком"
992;ООО "Скай Нетворкс"
992;ООО "Спринт"
992;ООО "Т2 Мобайл"
992;ООО "Цифра групп"
992;ПАО "Ростелеком"
993;ОАО "МТТ"
993;ООО "МАТРИКС телеком"
993;ООО "МСН Телеком"
993;ООО "Сбербанк-Телеком"
993;ООО "Скай Нетворкс"
993;ООО "Спринт"
993;ООО "Т2 Мобайл"
993;ПАО "Ростелеком"
994;АО "АКОС"
994;АО "Теле2-Санкт-Петербург"
994;ОАО "МТТ"
994;ООО "МиАТел"
994;ООО "Скай Нетворкс"
994;ООО "Спринт"
994;ООО "Т2 Мобайл"
995;ЗАО "Вайнах Телеком"
995;ЗАО "СанСим"
995;ОАО "МТТ"
995;ООО "Интернод"
995;ООО "Лайкамобайл"
995;ООО "МСН Телеком"
995;ООО "Сбербанк-Телеком"
995;ООО "Скай Нетворкс"
995;ООО "Скартел"
995;ООО "Т2 Мобайл"
995;ООО "Тинькофф Мобайл"
996;АО "Теле2-Санкт-Петербург"
996;ОАО "МТТ"
996;ООО "ВТБ Мобайл"
996;ООО "Интернод"
996;ООО "Новые мобильные коммуникации"
996;ООО "Сбербанк-Телеком"
996;ООО "Скартел"
996;ООО "Спринт"
996;ООО "Т2 Мобайл"
997;ОАО "АСВТ"
997;ООО "БИТ-ЦЕНТР"
997;ООО "ТРН-телеком"
999;ОАО "МТТ"
999;ООО "ВТБ Мобайл"
999;ООО "Интернод"
999;ООО "МАТРИКС телеком"
999;ООО "СИМ ТЕЛЕКОМ"
999;ООО "Скартел"
999;ООО "Т2 Мобайл"
999;ПАО "МегаФон"
